Naive Bayes Confusion Matrix:
--------------------------------
[[994 236]
 [184 969]]

 Naive Bayes Classification Report
--------------------------------
              precision    recall  f1-score   support

         neg       0.84      0.81      0.83      1230
         pos       0.80      0.84      0.82      1153

    accuracy                           0.82      2383
   macro avg       0.82      0.82      0.82      2383
weighted avg       0.82      0.82      0.82      2383

Row Number of instance, Index of predicted class
--------------------------------
9531, neg
9532, pos
9533, neg
9534, pos
9535, pos
9536, neg
9537, pos
9538, neg
9539, neg
9540, pos
9541, pos
9542, pos
9543, pos
9544, neg
9545, pos
9546, neg
9547, pos
9548, neg
9549, neg
9550, pos
9551, pos
9552, pos
9553, neg
9554, pos
9555, neg
9556, neg
9557, pos
9558, pos
9559, pos
9560, pos
9561, pos
9562, pos
9563, pos
9564, neg
9565, pos
9566, pos
9567, pos
9568, neg
9569, neg
9570, pos
9571, neg
9572, pos
9573, pos
9574, pos
9575, pos
9576, pos
9577, neg
9578, neg
9579, neg
9580, pos
9581, pos
9582, neg
9583, pos
9584, pos
9585, pos
9586, pos
9587, pos
9588, pos
9589, neg
9590, neg
9591, neg
9592, pos
9593, neg
9594, pos
9595, neg
9596, neg
9597, neg
9598, pos
9599, neg
9600, neg
9601, neg
9602, pos
9603, neg
9604, pos
9605, pos
9606, neg
9607, pos
9608, pos
9609, neg
9610, pos
9611, neg
9612, neg
9613, neg
9614, pos
9615, neg
9616, neg
9617, pos
9618, neg
9619, pos
9620, neg
9621, pos
9622, pos
9623, pos
9624, neg
9625, pos
9626, pos
9627, pos
9628, pos
9629, pos
9630, pos
9631, neg
9632, neg
9633, neg
9634, neg
9635, neg
9636, neg
9637, neg
9638, pos
9639, pos
9640, neg
9641, pos
9642, pos
9643, neg
9644, pos
9645, pos
9646, neg
9647, neg
9648, pos
9649, pos
9650, neg
9651, neg
9652, neg
9653, neg
9654, neg
9655, pos
9656, neg
9657, neg
9658, pos
9659, neg
9660, neg
9661, neg
9662, pos
9663, pos
9664, neg
9665, pos
9666, pos
9667, neg
9668, pos
9669, neg
9670, pos
9671, pos
9672, pos
9673, neg
9674, neg
9675, neg
9676, pos
9677, pos
9678, pos
9679, neg
9680, pos
9681, pos
9682, neg
9683, pos
9684, pos
9685, neg
9686, pos
9687, pos
9688, pos
9689, pos
9690, pos
9691, pos
9692, neg
9693, neg
9694, pos
9695, pos
9696, neg
9697, neg
9698, neg
9699, pos
9700, pos
9701, pos
9702, pos
9703, pos
9704, pos
9705, pos
9706, pos
9707, pos
9708, neg
9709, pos
9710, pos
9711, neg
9712, neg
9713, pos
9714, pos
9715, neg
9716, neg
9717, pos
9718, neg
9719, pos
9720, neg
9721, neg
9722, neg
9723, pos
9724, neg
9725, neg
9726, neg
9727, pos
9728, neg
9729, pos
9730, pos
9731, pos
9732, pos
9733, neg
9734, pos
9735, pos
9736, neg
9737, neg
9738, pos
9739, neg
9740, pos
9741, pos
9742, pos
9743, pos
9744, pos
9745, pos
9746, neg
9747, pos
9748, pos
9749, pos
9750, neg
9751, neg
9752, pos
9753, neg
9754, pos
9755, pos
9756, neg
9757, pos
9758, neg
9759, pos
9760, neg
9761, neg
9762, pos
9763, neg
9764, pos
9765, neg
9766, neg
9767, neg
9768, pos
9769, pos
9770, neg
9771, pos
9772, pos
9773, neg
9774, neg
9775, pos
9776, neg
9777, neg
9778, pos
9779, pos
9780, neg
